               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024705,           0.0095388,           0.0038452,             0.88799,             0.84673,             0.89916,             0.64129,            0.022924,            0.005662,           0.0059956,            0.006535,            0.006535,            0.006535
                  37,            0.025236,           0.0098329,           0.0038052,             0.88429,             0.82852,             0.89537,             0.67584,             0.02215,           0.0057511,           0.0052821,            0.006436,            0.006436,            0.006436
                  38,            0.025156,           0.0099123,            0.003777,             0.81641,             0.88514,             0.85797,             0.62329,            0.022992,           0.0058427,           0.0055398,            0.006337,            0.006337,            0.006337
                  39,            0.024145,           0.0092517,           0.0036619,             0.86674,             0.88303,             0.90688,             0.68076,            0.020806,           0.0057267,           0.0050068,            0.006238,            0.006238,            0.006238
                  40,            0.024067,           0.0091938,           0.0038456,             0.86985,             0.88427,             0.89952,             0.68459,            0.022228,           0.0056025,           0.0060805,            0.006139,            0.006139,            0.006139
                  41,            0.023679,            0.009692,           0.0039996,             0.90721,             0.86258,              0.9298,             0.70358,            0.021541,           0.0054175,           0.0057416,             0.00604,             0.00604,             0.00604
                  42,            0.022925,           0.0090184,           0.0036651,             0.92288,             0.86273,             0.92318,             0.69093,            0.020973,           0.0057972,           0.0051268,            0.005941,            0.005941,            0.005941
                  43,            0.023393,           0.0091647,           0.0039534,             0.90438,             0.86701,             0.92075,             0.68374,            0.022078,            0.005651,           0.0052314,            0.005842,            0.005842,            0.005842
                  44,            0.023258,           0.0093709,           0.0034095,              0.8373,             0.84947,             0.90945,             0.69253,            0.020997,            0.005917,           0.0057054,            0.005743,            0.005743,            0.005743
                  45,            0.023241,           0.0092027,           0.0034753,             0.83393,             0.86743,             0.87473,              0.6699,            0.020995,           0.0056729,           0.0055297,            0.005644,            0.005644,            0.005644
                  46,            0.022369,           0.0087672,           0.0028941,             0.91173,             0.84931,             0.92028,             0.70562,             0.02194,           0.0057305,           0.0047692,            0.005545,            0.005545,            0.005545
                  47,            0.022372,           0.0090602,           0.0032786,             0.92739,             0.88699,             0.91907,             0.71591,            0.020643,           0.0055451,           0.0058898,            0.005446,            0.005446,            0.005446
